consulta,complexidade,num_endpoints,rest_tempo_media,rest_tempo_mediana,rest_tempo_desvio,rest_tempo_min,rest_tempo_max,rest_tempo_p25,rest_tempo_p75,rest_tempo_p95,graphql_tempo_media,graphql_tempo_mediana,graphql_tempo_desvio,graphql_tempo_min,graphql_tempo_max,graphql_tempo_p25,graphql_tempo_p75,graphql_tempo_p95,rest_tamanho_media,rest_tamanho_desvio,graphql_tamanho_media,graphql_tamanho_desvio,ganho_tempo_percentual,ganho_tamanho_percentual,speedup,reducao_tempo_ms,reducao_tamanho_bytes,rest_cv_tempo,graphql_cv_tempo,t_statistic_tempo,p_value_tempo,t_statistic_tamanho,p_value_tamanho,significante_tempo,significante_tamanho
Consulta 1 - Simples,Simples,1,546.4161237080892,527.2661447525024,62.62678804255773,481.3566207885742,798.997163772583,514.5208239555359,558.1463575363159,659.0041399002073,506.222939491272,499.11248683929443,38.19043922748642,432.21068382263184,587.3768329620361,478.19072008132935,529.9434661865234,574.1458058357239,5016.0,0.0,193.0,0.0,7.355782978009189,96.15231259968103,1.079398188191964,40.19318421681726,4823.0,11.461372628896784,7.544193723395042,3.924805646267167,0.0004905016186705352,inf,0.0,Sim,Sim
Consulta 2 - Média,Média,2,1326.3720830281575,1328.2181024551392,88.22160990948868,1177.50883102417,1538.2497310638428,1260.3179216384888,1383.6804032325745,1462.5180840492249,609.5360199610392,589.687705039978,98.27244678916148,538.9997959136963,1063.0342960357666,555.2505254745483,621.4572787284851,729.4479489326475,42084.0,0.0,1444.0,0.0,54.04486962893207,96.56876722744985,2.17603560674386,716.8360630671183,40640.0,6.651347011773304,16.122500323351346,31.594237758633966,5.1122160751327945e-24,inf,0.0,Sim,Sim
Consulta 3 - Complexa,Alta,4,3115.197968482971,3089.2438888549805,317.16953549318026,2724.958658218384,4324.247598648071,2903.6876559257507,3178.720951080322,3651.6024470329266,1022.7709452311198,1038.8206243515015,91.49889588481759,859.3952655792236,1194.261074066162,953.65309715271,1090.9291505813599,1156.9640040397644,139475.83333333334,408.1492442177929,1003.0,0.0,67.16834834964966,99.28087900532351,3.045841283435185,2092.4270232518516,138472.83333333334,10.18136050106743,8.94617668906709,35.22281788869262,2.360785150367355e-25,1827.0253819530665,6.041197954387215e-75,Sim,Sim
Consulta 4 - Lista,Média,1,820.1318343480428,772.1439599990845,222.3658877765576,666.3143634796143,1968.287229537964,736.2650036811829,831.4789533615112,908.9792370796202,657.4841022491455,644.7473764419556,71.28034978399813,536.186933517456,881.9308280944824,614.3519878387451,692.5742626190186,785.9306454658508,53183.0,0.0,971.0,0.0,19.831900834357054,98.17422860688566,1.24737895797405,162.64773209889734,52212.0,27.113432068311987,10.84137997255899,3.7792067405342835,0.0007260868803470835,inf,0.0,Sim,Sim
Consulta 5 - Aninhada,Alta,2,1139.4076824188232,1127.846598625183,58.87407726070151,1075.519323348999,1364.6018505096436,1099.1123318672178,1158.1935286521912,1239.2415404319763,581.8132559458414,561.6174936294556,79.51203783432005,515.0003433227539,916.2895679473876,543.5563921928406,582.1029543876648,735.1367592811581,31290.0,0.0,2576.0,0.0,48.937218440486284,91.76733780760627,1.9583735344195834,557.5944264729818,28714.0,5.167077435858519,13.666247205911288,31.02052290398017,8.57025171796444e-24,inf,0.0,Sim,Sim
