consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp
Consulta 2 - Média,REST,1303.53,42084,2025-11-26T14:12:36.331840
Consulta 2 - Média,REST,1284.0,42084,2025-11-26T14:12:38.616947
Consulta 2 - Média,GraphQL,586.0,1444,2025-11-26T14:12:40.204987
Consulta 2 - Média,GraphQL,618.3,1444,2025-11-26T14:12:41.826265
Consulta 2 - Média,GraphQL,581.28,1444,2025-11-26T14:12:43.409068
Consulta 2 - Média,GraphQL,613.0,1444,2025-11-26T14:12:45.024723
Consulta 2 - Média,REST,1232.23,42084,2025-11-26T14:12:47.258691
Consulta 2 - Média,REST,1384.94,42084,2025-11-26T14:12:49.644582
Consulta 2 - Média,REST,1183.71,42084,2025-11-26T14:12:51.830004
Consulta 2 - Média,GraphQL,551.5,1444,2025-11-26T14:12:53.383732
Consulta 2 - Média,GraphQL,615.33,1444,2025-11-26T14:12:55.001357
Consulta 2 - Média,REST,1538.25,42084,2025-11-26T14:12:57.540524
Consulta 2 - Média,GraphQL,774.0,1444,2025-11-26T14:12:59.316898
Consulta 2 - Média,GraphQL,563.13,1444,2025-11-26T14:13:00.882289
Consulta 2 - Média,GraphQL,539.0,1444,2025-11-26T14:13:02.424653
Consulta 2 - Média,GraphQL,593.91,1444,2025-11-26T14:13:04.020552
Consulta 2 - Média,GraphQL,542.01,1444,2025-11-26T14:13:05.565054
Consulta 2 - Média,GraphQL,622.51,1444,2025-11-26T14:13:07.188874
Consulta 2 - Média,REST,1400.76,42084,2025-11-26T14:13:09.591468
Consulta 2 - Média,REST,1231.13,42084,2025-11-26T14:13:11.824641
Consulta 2 - Média,REST,1311.02,42084,2025-11-26T14:13:14.136664
Consulta 2 - Média,GraphQL,571.99,1444,2025-11-26T14:13:15.711293
Consulta 2 - Média,REST,1289.51,42084,2025-11-26T14:13:18.001644
Consulta 2 - Média,GraphQL,542.0,1444,2025-11-26T14:13:19.545632
Consulta 2 - Média,REST,1258.26,42084,2025-11-26T14:13:21.805064
Consulta 2 - Média,REST,1177.51,42084,2025-11-26T14:13:23.983647
Consulta 2 - Média,REST,1460.7,42084,2025-11-26T14:13:26.445585
Consulta 2 - Média,GraphQL,558.4,1444,2025-11-26T14:13:28.005465
Consulta 2 - Média,REST,1187.92,42084,2025-11-26T14:13:30.194644
Consulta 2 - Média,GraphQL,544.68,1444,2025-11-26T14:13:31.741339
Consulta 2 - Média,GraphQL,554.2,1444,2025-11-26T14:13:33.298120
Consulta 2 - Média,REST,1200.17,42084,2025-11-26T14:13:35.498810
Consulta 2 - Média,GraphQL,1063.03,1444,2025-11-26T14:13:37.563376
Consulta 2 - Média,GraphQL,632.5,1444,2025-11-26T14:13:39.198760
Consulta 2 - Média,REST,1266.5,42084,2025-11-26T14:13:41.465908
Consulta 2 - Média,GraphQL,675.0,1444,2025-11-26T14:13:43.143101
Consulta 2 - Média,GraphQL,608.0,1444,2025-11-26T14:13:44.753193
Consulta 2 - Média,GraphQL,638.45,1444,2025-11-26T14:13:46.393903
Consulta 2 - Média,REST,1321.5,42084,2025-11-26T14:13:48.716868
Consulta 3 - Complexa,REST,2747.33,139701,2025-11-26T14:13:52.465959
Consulta 3 - Complexa,GraphQL,1071.25,1003,2025-11-26T14:13:54.538894
Consulta 3 - Complexa,GraphQL,1030.0,1003,2025-11-26T14:13:56.571259
Consulta 3 - Complexa,GraphQL,1073.87,1003,2025-11-26T14:13:58.647061
Consulta 3 - Complexa,REST,3182.78,139701,2025-11-26T14:14:02.831447
Consulta 3 - Complexa,REST,4324.25,139701,2025-11-26T14:14:08.156763
Consulta 3 - Complexa,REST,3160.88,139701,2025-11-26T14:14:12.318502
Consulta 3 - Complexa,REST,3052.63,139701,2025-11-26T14:14:16.372479
Consulta 3 - Complexa,REST,2871.26,139701,2025-11-26T14:14:20.245254
Consulta 3 - Complexa,REST,2809.02,139701,2025-11-26T14:14:24.056087
Consulta 3 - Complexa,REST,2724.96,139701,2025-11-26T14:14:27.782014
Consulta 3 - Complexa,GraphQL,963.15,1003,2025-11-26T14:14:29.747389
Consulta 3 - Complexa,GraphQL,1156.43,1003,2025-11-26T14:14:31.906054
Consulta 3 - Complexa,GraphQL,1140.04,1003,2025-11-26T14:14:34.048106
Consulta 3 - Complexa,REST,3299.53,139701,2025-11-26T14:14:38.348638
Consulta 3 - Complexa,REST,3161.78,139701,2025-11-26T14:14:42.511379
Consulta 3 - Complexa,GraphQL,955.25,1003,2025-11-26T14:14:44.470535
Consulta 3 - Complexa,REST,2837.83,139701,2025-11-26T14:14:48.309122
Consulta 3 - Complexa,GraphQL,953.12,1003,2025-11-26T14:14:50.264679
Consulta 3 - Complexa,REST,2921.31,139701,2025-11-26T14:14:54.187491
Consulta 3 - Complexa,GraphQL,1052.0,1003,2025-11-26T14:14:56.240950
Consulta 3 - Complexa,REST,3048.62,139701,2025-11-26T14:15:00.290321
Consulta 3 - Complexa,GraphQL,893.36,1003,2025-11-26T14:15:02.185938
Consulta 3 - Complexa,GraphQL,898.3,1003,2025-11-26T14:15:04.085208
Consulta 3 - Complexa,REST,3087.11,139701,2025-11-26T14:15:08.173589
