consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp,numero_consulta,complexidade,num_endpoints,data,hora,minuto,periodo_dia,ordem_execucao
Consulta 1 - Simples,GraphQL,444.0,193,2025-11-26 14:11:33.519080,1,Simples,1,2025-11-26,14,11,Tarde,49
Consulta 1 - Simples,GraphQL,552.0,193,2025-11-26 14:11:35.073641,1,Simples,1,2025-11-26,14,11,Tarde,50
Consulta 1 - Simples,REST,522.53,5016,2025-11-26 14:11:36.597341,1,Simples,1,2025-11-26,14,11,Tarde,51
Consulta 1 - Simples,GraphQL,505.55,193,2025-11-26 14:11:38.106905,1,Simples,1,2025-11-26,14,11,Tarde,52
Consulta 1 - Simples,REST,572.99,5016,2025-11-26 14:11:39.681913,1,Simples,1,2025-11-26,14,11,Tarde,53
Consulta 1 - Simples,GraphQL,587.38,193,2025-11-26 14:11:41.271122,1,Simples,1,2025-11-26,14,11,Tarde,54
Consulta 1 - Simples,REST,516.0,5016,2025-11-26 14:11:42.789742,1,Simples,1,2025-11-26,14,11,Tarde,55
Consulta 1 - Simples,REST,606.49,5016,2025-11-26 14:11:44.399937,1,Simples,1,2025-11-26,14,11,Tarde,56
Consulta 1 - Simples,REST,514.0,5016,2025-11-26 14:11:45.916279,1,Simples,1,2025-11-26,14,11,Tarde,57
Consulta 1 - Simples,GraphQL,497.92,193,2025-11-26 14:11:47.415203,1,Simples,1,2025-11-26,14,11,Tarde,58
Consulta 1 - Simples,REST,578.0,5016,2025-11-26 14:11:48.996281,1,Simples,1,2025-11-26,14,11,Tarde,59
Consulta 1 - Simples,REST,538.0,5016,2025-11-26 14:11:50.535672,1,Simples,1,2025-11-26,14,11,Tarde,60
Consulta 2 - Média,REST,1411.58,42084,2025-11-26 14:11:52.948270,2,Média,2,2025-11-26,14,11,Tarde,61
Consulta 2 - Média,REST,1319.91,42084,2025-11-26 14:11:55.269715,2,Média,2,2025-11-26,14,11,Tarde,62
Consulta 2 - Média,REST,1364.22,42084,2025-11-26 14:11:57.634890,2,Média,2,2025-11-26,14,11,Tarde,63
