name,owner,url,stars,age_days,merged_prs,total_releases,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio,forks,description
xyflow,xyflow,https://github.com/xyflow/xyflow,31386,2241,1406,350,0,TypeScript,2277,2193,0.9631093544137023,2037,React Flow | Svelte Flow - Powerful open source libraries for building node-based UIs with React (https://reactflow.dev) or Svelte (https://svelteflow.dev). Ready out-of-the-box and infinitely customizable.
lottie-web,airbnb,https://github.com/airbnb/lottie-web,31385,3847,136,0,1,JavaScript,2895,2125,0.7340241796200345,2924,"Render After Effects animations natively on Web, Android and iOS, and React Native. http://airbnb.io/lottie/"
servo,servo,https://github.com/servo/servo,31384,4955,20680,0,0,Rust,14074,11082,0.7874094074179337,3240,"Servo aims to empower developers with a lightweight, high-performance alternative for embedding web technologies in applications."
MS-DOS,microsoft,https://github.com/microsoft/MS-DOS,31371,2626,37,0,495,Assembly,0,0,0,4478,"The original sources of MS-DOS 1.25, 2.0, and 4.0 for reference purposes"
comprehensive-rust,google,https://github.com/google/comprehensive-rust,31361,986,2184,0,1,Rust,346,236,0.6820809248554913,1862,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust.
netron,lutzroeder,https://github.com/lutzroeder/netron,31305,5364,1,3,0,JavaScript,1223,1201,0.982011447260834,2980,"Visualizer for neural network, deep learning and machine learning models"
backstage,backstage,https://github.com/backstage/backstage,31273,2048,19001,447,0,TypeScript,7078,6723,0.9498445888669116,6752,Backstage is an open framework for building developer portals
cockroach,cockroachdb,https://github.com/cockroachdb/cockroach,31252,4226,67907,0,0,Go,75994,69564,0.9153880569518646,3962,"CockroachDB — the cloud native, distributed SQL database designed for high availability, effortless scale, and control over data placement."
llm-app,pathwaycom,https://github.com/pathwaycom/llm-app,31233,776,47,0,34,Jupyter Notebook,17,13,0.7647058823529411,867,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more."
cursor,cursor,https://github.com/cursor/cursor,31206,905,46,0,324,Not specified,3267,1216,0.37220691766146313,2033,The AI Code Editor
paper-reading,mli,https://github.com/mli/paper-reading,31202,1411,15,0,164,Not specified,0,0,0,2709,深度学习经典、新论文逐段精读
linux-insides,0xAX,https://github.com/0xAX/linux-insides,31175,3895,585,0,3,Python,190,161,0.8473684210526315,3433,A book-in-progress about the Linux kernel and its insides.
mediapipe,google-ai-edge,https://github.com/google-ai-edge/mediapipe,31173,2273,201,63,0,C++,5476,5038,0.9200146092037984,5513,"Cross-platform, customizable ML solutions for live and streaming media."
ink,vadimdemedes,https://github.com/vadimdemedes/ink,31139,3004,240,64,2,TypeScript,378,302,0.798941798941799,726,🌈 React for interactive command-line apps
slate,ianstormtaylor,https://github.com/ianstormtaylor/slate,31108,3363,1944,205,3,TypeScript,3201,2530,0.7903780068728522,3309,A completely customizable framework for building rich text editors. (Currently in beta.)
