name,owner,url,stars,age_days,merged_prs,total_releases,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio,forks,description
storybook,storybookjs,https://github.com/storybookjs/storybook,87558,3442,11473,10000,0,TypeScript,13691,11613,0.8482214593528595,9665,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation"
supabase,supabase,https://github.com/supabase/supabase,87422,2139,12924,22,0,TypeScript,4656,4420,0.9493127147766323,9573,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications."
awesome-mac,jaywcjlove,https://github.com/jaywcjlove/awesome-mac,87407,3321,987,12,0,JavaScript,480,367,0.7645833333333333,6714," Now we have become very big, Different from the original idea. Collect premium software in various categories."
whisper,openai,https://github.com/openai/whisper,86972,1069,119,13,0,Python,0,0,0,10726,Robust Speech Recognition via Large-Scale Weak Supervision
nvm,nvm-sh,https://github.com/nvm-sh/nvm,86483,5606,727,70,0,Shell,2314,1998,0.8634399308556612,9204,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions
ComfyUI,comfyanonymous,https://github.com/comfyanonymous/ComfyUI,86089,946,1192,73,0,Python,6177,3664,0.5931682046300794,9544,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
NextChat,ChatGPTNextWeb,https://github.com/ChatGPTNextWeb/NextChat,85540,894,888,77,0,TypeScript,3545,2885,0.8138222849083215,61071,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows
v2rayN,2dust,https://github.com/2dust/v2rayN,85280,2213,267,10000,0,C#,6019,6012,0.9988370161156338,13157,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others"
llama.cpp,ggml-org,https://github.com/ggml-org/llama.cpp,85227,894,5490,10000,0,C++,0,5362,0,12765,LLM inference in C/C++
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,85116,5358,0,56,0,C++,0,0,0,37646,Bitcoin Core integration/staging tree
app-ideas,florinpop17,https://github.com/florinpop17/app-ideas,84940,2368,0,0,0,Unknown,0,0,0,9811,A Collection of application ideas which can be used to improve your coding skills.
django,django,https://github.com/django/django,84635,4862,0,0,0,Python,0,0,0,32834,The Web framework for perfectionists with deadlines.
svelte,sveltejs,https://github.com/sveltejs/svelte,83810,3195,0,10000,0,JavaScript,0,0,0,4595,web development for the rest of us
gin,gin-gonic,https://github.com/gin-gonic/gin,83657,4083,0,27,0,Go,0,0,0,8299,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin."
opencv,opencv,https://github.com/opencv/opencv,83639,4780,0,66,0,C++,0,0,0,56273,Open Source Computer Vision Library
hugo,gohugoio,https://github.com/gohugoio/hugo,82974,4430,0,10000,0,Go,0,0,0,7976,The world’s fastest framework for building websites.
mermaid,mermaid-js,https://github.com/mermaid-js/mermaid,82277,3945,0,10000,0,TypeScript,0,0,0,7935,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown
realworld,gothinkster,https://github.com/gothinkster/realworld,82241,3463,0,0,0,TypeScript,0,0,0,7506,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more"
animate.css,animate-css,https://github.com/animate-css/animate.css,82055,5061,0,22,0,CSS,0,0,0,16171,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.
laravel,laravel,https://github.com/laravel/laravel,81874,5187,0,10000,0,Blade,0,0,0,24443,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things."
